,habitat_richness,longitude,latitude
21278134,-3.4028230000000003e+38,12.61,43.11
21278135,0.35512182,12.62,43.11
21278136,-3.4028230000000003e+38,12.64,43.11
21278137,-3.4028230000000003e+38,12.65,43.11
21278138,0.35512182,12.66,43.11
21278139,-3.4028230000000003e+38,12.67,43.11
21278140,0.33153832,12.68,43.11
21278141,-3.4028230000000003e+38,12.7,43.11
21278142,-3.4028230000000003e+38,12.71,43.1
21278143,0.33153832,12.72,43.1
21278144,0.33153832,12.73,43.1
21278145,-3.4028230000000003e+38,12.75,43.1
21278146,-3.4028230000000003e+38,12.76,43.1
21278147,-3.4028230000000003e+38,12.77,43.1
21278148,-3.4028230000000003e+38,12.78,43.1
21278149,-3.4028230000000003e+38,12.79,43.1
21278150,-3.4028230000000003e+38,12.81,43.1
21278151,0.3230995,12.82,43.1
21278152,0.3230995,12.83,43.1
21278153,0.3230995,12.84,43.1
21278154,0.3230995,12.86,43.1
21278155,0.3176966,12.87,43.1
21278156,-3.4028230000000003e+38,12.88,43.1
21278157,0.3230995,12.89,43.1
21278158,0.3230995,12.91,43.1
21278159,-3.4028230000000003e+38,12.92,43.1
21278160,-3.4028230000000003e+38,12.93,43.1
21278161,0.35316279999999994,12.94,43.1
21278162,0.35316279999999994,12.95,43.1
21278163,0.35316279999999994,12.97,43.1
21278164,0.3451356,12.98,43.1
21278165,0.35316279999999994,12.99,43.1
21278166,-3.4028230000000003e+38,13.0,43.1
21278167,-3.4028230000000003e+38,13.02,43.1
21278168,0.35316279999999994,13.03,43.1
21278169,-3.4028230000000003e+38,13.04,43.1
21278170,-3.4028230000000003e+38,13.05,43.1
21278171,-3.4028230000000003e+38,13.06,43.09
21278172,-3.4028230000000003e+38,13.08,43.09
21278173,-3.4028230000000003e+38,13.09,43.09
21278174,-3.4028230000000003e+38,13.1,43.09
21278175,0.33281922,13.11,43.09
21278176,-3.4028230000000003e+38,13.13,43.09
21278177,0.33281922,13.14,43.09
21278178,0.33281922,13.15,43.09
21278179,0.33281922,13.16,43.09
21278180,-3.4028230000000003e+38,13.17,43.09
21278181,-3.4028230000000003e+38,13.19,43.09
21278182,0.33381644,13.2,43.09
21278183,0.33381644,13.21,43.09
21278184,-3.4028230000000003e+38,13.22,43.09
21278185,0.33381644,13.24,43.09
