longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,DMP300-RT0-DMP,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.64,44.44,0.41398227,196.08333333333331,1228.0,980.0,1739.0,2156.0,961.0,17.0,1614.083333333333,8.5,136.0,160.0,148.0,175.0,143.0,137.0,138.0,198.0,303.0,435.0,4.0,10.0,92.25,318.0,1614.083333333333,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.6,44.46,0.41398227,176.77777777777774,1213.0,971.0,1594.0,1881.0,955.0,22.33333333333333,1559.2222222222224,8.0,124.0,148.0,136.0,175.0,131.0,125.0,126.0,198.0,247.0,367.0,17.0,12.0,82.44444444444444,306.0,1559.2222222222224,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.6,44.47,0.41930556,161.16666666666666,1235.0,985.0,1507.0,1962.0,962.0,81.0,1378.083333333333,2.5,139.0,168.0,153.0,175.0,147.0,140.0,142.0,198.0,275.0,412.0,8.0,3.0,78.91666666666667,196.0,1378.083333333333,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.6,44.5,0.41930556,177.83333333333337,1218.5,973.5,1831.5,2445.5,956.0,49.0,1297.9166666666667,5.5,132.0,163.0,150.0,175.0,144.0,134.0,138.0,198.0,369.0,484.0,29.0,2.5,82.08333333333333,243.0,1297.9166666666667,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.6,44.51,0.3353915,160.33333333333334,1206.0,965.0,1854.0,2545.0,953.0,33.0,1349.3333333333333,7.0,124.0,153.0,143.0,175.0,138.0,127.0,131.0,198.0,422.0,461.0,18.0,5.0,81.55555555555556,252.0,1349.3333333333333,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.6,44.54,0.3353915,194.22222222222226,1223.0,977.0,1892.0,2438.0,959.0,22.33333333333333,1398.111111111111,8.0,130.5,160.5,150.5,175.0,144.5,133.5,137.5,198.0,349.0,458.0,27.0,1.0,92.0,305.0,1398.111111111111,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.61,44.46,0.41398227,186.83333333333331,1213.0,971.0,1458.0,1901.0,955.0,1.0,1678.333333333333,10.0,127.0,154.0,141.0,175.0,135.0,128.0,130.0,198.0,272.0,381.0,13.0,3.0,97.75,214.0,1678.333333333333,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.61,44.47,0.41398227,180.8125,1239.0,988.0,1332.0,1744.0,964.0,55.0,1450.1875,4.9375,128.0,156.0,143.0,175.0,137.0,130.0,132.0,198.0,276.0,379.0,7.0,3.0,78.875,169.0,1450.1875,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.61,44.48,0.41930556,173.33333333333337,1238.0,986.0,1587.0,2128.0,963.0,81.0,1206.25,2.5,133.0,164.0,149.0,175.0,143.0,135.0,137.0,198.0,263.0,447.0,18.0,13.0,70.16666666666667,168.0,1206.25,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.61,44.49,0.41930556,182.41666666666663,1238.0,987.0,1720.0,2143.0,964.0,89.0,1362.9166666666667,1.75,132.0,162.0,147.0,175.0,141.0,134.0,136.0,198.0,231.0,470.0,34.0,20.0,72.75,337.0,1362.9166666666667,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.61,44.52,0.3353915,178.5,1223.0,977.0,1830.0,2335.0,959.0,73.0,1395.625,3.25,134.0,158.0,149.0,175.0,144.0,136.0,138.0,198.0,344.0,458.0,7.0,2.0,95.125,300.0,1395.625,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.61,44.53,0.3353915,180.0,1225.0,978.0,1989.0,2549.0,959.0,1.0,1520.0,10.0,130.0,152.0,145.0,175.0,140.0,132.0,135.0,198.0,347.0,437.0,18.0,5.0,101.5,357.0,1520.0,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.62,44.46,0.41398227,187.44444444444446,1216.0,972.0,1589.0,2053.0,955.0,65.0,1715.5555555555554,4.0,132.5,156.5,145.5,175.0,140.0,133.0,135.5,198.0,310.0,429.0,14.0,5.0,102.33333333333331,213.0,1715.5555555555554,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.62,44.47,0.41398227,196.41666666666663,1219.0,975.0,1344.0,1838.0,957.0,49.0,1683.083333333333,5.5,128.0,159.0,144.0,175.0,138.0,130.0,132.0,198.0,245.0,397.0,24.0,14.0,92.08333333333331,171.0,1683.083333333333,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.62,44.48,0.41930556,206.33333333333331,1240.0,988.0,1394.0,1857.0,964.0,86.33333333333331,1550.5555555555554,2.0,131.5,160.0,147.0,175.0,141.0,133.0,135.0,198.0,240.0,415.0,5.0,5.0,89.66666666666669,155.0,1550.5555555555554,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.62,44.49,0.41930556,194.88888888888889,1224.0,978.0,1506.0,2019.0,958.0,65.0,1585.5555555555554,4.0,133.0,162.5,149.5,175.0,143.5,135.0,137.5,198.0,223.0,435.0,12.0,2.0,80.8888888888889,175.0,1585.5555555555554,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.62,44.5,0.41930556,159.25,1211.5,969.0,1908.0,2539.5,954.0,9.0,1540.666666666667,9.25,126.5,156.5,145.0,175.0,138.5,128.5,132.5,198.0,372.5,440.0,25.5,3.0,82.16666666666667,285.0,1540.666666666667,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.63,44.47,0.41398227,185.1875,1235.0,985.0,1789.0,2099.0,963.0,55.0,1719.625,4.9375,130.0,154.0,145.0,175.0,139.0,131.0,134.0,198.0,304.0,447.0,14.0,5.0,96.9375,419.0,1719.625,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.63,44.48,0.41930556,190.16666666666663,1241.0,989.0,1474.0,1933.0,965.0,73.0,1651.083333333333,3.25,132.0,152.0,143.0,175.0,138.0,133.0,135.0,198.0,247.0,426.0,6.0,6.0,91.25,254.0,1651.083333333333,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.63,44.49,0.41930556,198.25,1222.0,976.0,1464.0,2050.0,958.0,49.0,1701.75,5.5,133.0,150.0,145.0,175.0,140.0,134.0,136.0,198.0,240.0,430.0,31.0,20.0,94.66666666666669,164.0,1701.75,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.63,44.5,0.41930556,176.6875,1207.0,966.5,1924.5,2598.5,954.0,43.0,1345.1875,6.0625,128.0,147.0,142.0,175.0,137.0,129.0,132.0,198.0,365.0,447.5,24.5,2.5,81.5625,270.0,1345.1875,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.63,44.52,0.3353915,182.875,1229.0,981.0,1744.0,2140.0,961.0,61.0,1290.375,4.375,132.0,157.0,149.0,175.0,144.0,134.0,137.0,198.0,365.0,437.0,6.0,3.0,84.1875,306.0,1290.375,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
