longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALBH-AL-BH-NI,ALDH-AL-DH-NI,ALDH-AL-DH-VI,ALDH-AL-DH-BB,DMP300-RT5-DMP,FAPAR300-FAPAR,FCOVER300-FCOVER,GDMP300-RT5-GDMP,LAI300-LAI,SWI1km-SWI-020,SWI1km-SWI-040,SWI1km-SWI-060,SWI1km-SWI-100,SWI1km-SWI-002,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-015,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-RED,TOCR-REF-NOR-SWIR,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
12.55,41.57,0.27917483,206.58333333333331,659.0,2013.0,2980.0,2471.0,550.0,1675.0,6249.75,163.33333333333334,219.08333333333331,6249.75,108.08333333333331,79.0,86.0,92.0,100.0,84.0,80.0,78.0,78.0,81.0,613.0,145.0,365.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.56,41.59,0.27917483,203.22222222222226,572.0,1932.0,2893.0,2525.0,445.0,1667.0,10105.666666666666,168.44444444444446,186.33333333333331,10105.666666666666,66.22222222222223,87.0,93.0,98.0,105.0,92.0,89.0,88.0,87.0,61.0,641.0,119.0,359.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.56,41.62,0.28176,185.11111111111111,569.0,1947.0,2915.0,2608.0,457.0,1722.0,9244.555555555555,177.55555555555554,208.22222222222226,9244.555555555555,81.22222222222223,85.5,90.0,95.0,101.5,102.5,94.0,89.0,86.5,58.0,658.0,120.0,355.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.57,41.57,0.27917483,204.33333333333331,579.0,1876.0,2791.0,2436.0,484.0,1629.0,8882.333333333334,172.44444444444446,194.88888888888889,8882.333333333334,72.1111111111111,81.0,86.0,92.0,99.0,85.0,81.0,81.0,80.0,77.0,581.0,137.0,365.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.58,41.58,0.27917483,179.625,556.25,1942.5,2916.25,2518.25,462.75,1669.5,9034.0625,150.875,167.1875,9034.0625,54.75,79.0,85.0,91.0,98.0,82.0,80.0,79.0,79.0,68.0,627.75,127.75,362.25,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.58,41.59,0.27917483,193.25,543.5,1938.0,2916.5,2614.5,448.5,1723.5,9146.916666666666,158.0,183.0,9146.916666666666,64.41666666666667,85.0,90.0,96.0,103.0,88.0,86.0,86.0,85.0,64.0,670.5,126.0,363.5,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.58,41.6,0.27917483,198.91666666666663,557.0,1963.0,2951.0,2666.5,449.5,1755.0,8935.166666666666,171.91666666666663,204.75,8935.166666666666,77.16666666666667,94.0,99.0,103.0,109.0,97.0,94.0,94.0,93.0,58.0,672.5,120.0,354.5,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.58,41.61,0.25632283,190.0,555.5,1904.0,2851.0,2558.5,463.0,1695.5,8575.25,179.0625,199.6875,8575.25,76.125,90.0,95.0,100.0,106.0,95.0,92.0,91.0,90.0,61.0,638.0,124.0,359.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.58,41.64,0.25632283,177.41666666666663,584.5,1991.5,2985.0,2637.0,456.0,1740.5,6878.333333333332,171.41666666666666,206.25,6878.333333333332,83.91666666666667,88.0,92.0,98.0,105.0,112.0,100.0,93.0,89.0,60.0,673.0,123.0,344.5,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.6,41.63,0.25632283,193.0,543.0,1879.0,2820.0,2467.0,446.0,1634.0,9365.416666666666,165.25,193.16666666666663,9365.416666666666,68.83333333333333,88.0,93.0,98.0,104.0,96.0,92.0,90.0,89.0,65.0,616.0,128.0,361.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.6,41.64,0.25632283,195.44444444444446,500.0,1928.0,2926.0,2589.0,437.0,1704.0,8465.0,184.44444444444446,211.44444444444446,8465.0,74.44444444444444,89.0,94.0,99.0,106.0,100.0,94.0,91.0,90.0,57.0,637.0,120.0,350.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.61,41.63,0.25632283,197.0625,538.0,1857.0,2780.0,2451.0,453.0,1627.0,10054.375,159.6875,166.1875,10054.375,56.625,88.0,93.0,98.0,104.0,97.0,92.0,91.0,89.0,59.0,609.0,122.0,359.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
