longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,VCI_y,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.61,44.65,0.2656396,177.0,1262.0,1003.0,1404.0,1849.0,976.0,97.0,1097.1666666666667,1.0,139.0,166.0,160.0,175.0,154.0,143.0,147.0,198.0,234.0,489.0,34.0,5.0,220.0,65.66666666666667,221.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
3.61,44.67,0.2656396,190.91666666666663,1241.0,988.0,1751.0,2449.0,964.0,81.0,1186.5,2.5,135.0,162.0,159.0,175.0,152.0,139.0,144.0,198.0,383.0,510.0,32.0,17.0,237.0,82.75,233.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
3.61,44.68,0.2656396,162.25,1239.0,986.0,2011.0,2650.0,963.0,57.0,1212.1666666666667,4.75,131.0,158.0,155.0,175.0,149.0,136.0,140.0,198.0,427.0,537.0,22.0,1.0,220.0,75.0,290.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
3.61,44.78,0.23011887,179.25,1211.0,968.0,2143.0,2948.0,954.0,33.0,1865.75,7.0,137.0,167.0,165.0,175.0,159.0,143.0,149.0,198.0,538.0,575.0,32.0,2.0,200.0,114.0,336.0,276.50748,280.98434,0.17551643,2.2258458,0.0,0.00011422635,280.8701,281.32712,281.29907,281.26724,281.30133,-4533391.0,12002202.0,-4892814.5,88037.2,14409620.0,25606436.0,0.0029223065,0.35393298,0.35310227,0.34909874,0.3719485
3.62,44.44,0.41398227,184.33333333333331,1269.0,1008.0,1527.0,1987.0,978.0,25.0,1605.166666666667,7.75,130.5,150.0,142.0,175.0,137.5,131.5,133.0,198.0,341.0,432.0,5.0,4.0,200.0,94.5,214.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075
3.62,44.45,0.41398227,194.88888888888889,1269.0,1008.0,1494.0,1962.0,978.0,11.666666666666664,1596.4444444444446,9.0,133.5,154.75,145.0,175.0,140.5,134.0,136.0,198.0,285.0,437.0,6.0,5.0,190.0,100.11111111111113,214.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075
3.62,44.46,0.41398227,187.44444444444446,1216.0,972.0,1589.0,2053.0,955.0,65.0,1715.5555555555554,4.0,132.5,156.5,145.5,175.0,140.0,133.0,135.5,198.0,310.0,429.0,14.0,5.0,206.0,102.33333333333331,213.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.62,44.47,0.41398227,196.41666666666663,1219.0,975.0,1344.0,1838.0,957.0,49.0,1683.083333333333,5.5,128.0,159.0,144.0,175.0,138.0,130.0,132.0,198.0,245.0,397.0,24.0,14.0,154.0,92.08333333333331,171.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.62,44.48,0.41930556,206.33333333333331,1240.0,988.0,1394.0,1857.0,964.0,86.33333333333331,1550.5555555555554,2.0,131.5,160.0,147.0,175.0,141.0,133.0,135.0,198.0,240.0,415.0,5.0,5.0,250.0,89.66666666666669,155.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.62,44.49,0.41930556,194.88888888888889,1224.0,978.0,1506.0,2019.0,958.0,65.0,1585.5555555555554,4.0,133.0,162.5,149.5,175.0,143.5,135.0,137.5,198.0,223.0,435.0,12.0,2.0,225.0,80.8888888888889,175.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.62,44.5,0.41930556,159.25,1211.5,969.0,1908.0,2539.5,954.0,9.0,1540.666666666667,9.25,126.5,156.5,145.0,175.0,138.5,128.5,132.5,198.0,372.5,440.0,25.5,3.0,245.5,82.16666666666667,285.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.62,44.55,0.3353915,184.0,1236.0,985.0,1722.0,2284.0,962.0,17.0,1581.083333333333,8.5,135.0,163.5,155.5,175.0,150.0,138.0,142.5,198.0,380.0,448.0,15.497298757428418,3.0,187.0,105.5,304.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.56,0.3353915,185.0,1236.0,985.0,1691.0,2234.0,962.0,1.0,1555.2222222222224,10.0,133.0,165.0,155.5,175.0,149.0,136.5,141.0,198.0,389.0,478.0,27.0,1.0,250.0,95.66666666666669,289.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
